adId,Price,Type,days_since,Parking,Lease_term,moving_date,pets_allowed_apt,size (sq.ft.),furnished_apt,AC,apt_size,Title_length,postal_code,longitude,latitude,District,desc_len
1569922397,470,Room,1,,,na,0.0,,0,0.0,na,40,H2A1W7,-73.6118,45.5583,Saint-Michel East,814
1569922379,1280,apartment,1,0.0, '1 an',july,0.0,1000.0,0,0.0,condo,42,H3X 2R6,-73.6483,45.4915,Hampstead,910
1558165068,940,apartment,3,0.0, '1 an',march,0.0,550.0,0,0.0,na,63,H4J 2M3,-73.7231,45.5353,Cartierville Central,336
1505844985,1100,apartment,2,0.0, '1 an',na,0.0,,0,,na,29,H8Y 3B9,-73.8162,45.5145,Roxboro,281
1569642212,1600,apartment,2,1.0, '1 an',july,1.0,940.0,0,1.0,condo,14,H4L 0A5,-73.6974,45.5269,Saint-Laurent Inner Northeast,546
1505777134,1915,apartment,2,0.0, '1 an',na,,,1,,na,48,H3C 1V8,-73.5679,45.503,Griffintown (Includes Île Notre-Dame & Île Sainte-Hélène),3533
1567176485,1600,apartment,16,0.0, '1 an',july,1.0,1100.0,0,0.0,na,48,H4E 4E4,-73.5863,45.468,Ville Émard,415
1569924557,1495,apartment,1,2.0, '1 an',july,0.0,1200.0,0,0.0,na,61,H4G 1B2,-73.5798,45.4644,Verdun North,372
1531730257,1195,apartment,1,0.0, '1 an',october,1.0,,0,1.0,3 1/2,61,H8S 0C3,-73.6811,45.4496,Lachine East,2277
1505793120,1595,apartment,1,0.0, '1 an',august,0.0,,0,0.0,4 1/2,59,H4N 1G4,-73.6807,45.5329,Saint-Laurent Outer Northeast,3368
1505771649,1095,apartment,1,0.0, '1 an',april,1.0,,0,0.0,3 1/2,63,H4N 1P2,-73.6807,45.5329,Saint-Laurent Outer Northeast,2468
1531802626,1555,apartment,1,0.0, '1 an',october,0.0,,0,1.0,4 1/2,64,H8S 0C3,-73.6811,45.4496,Lachine East,1463
