adId,Title,Price,Description,Location,URL,Type,days_since,Parking,Lease_term,moving_date,pets_allowed_apt,size (sq.ft.),furnished_apt,AC,apt_size,Title_length,postal_code,longitude,latitude,District,desc_len
1569922397,belle chambre meublee t.inclus avec wifi,470,"""salut a vous tous, hello, hallo, hola\nje suis pascal et je suis une personne sympathique et dynamique, j'ai une superbe de belle chambre qui est disponible des aujourdhui! elle est denviron 16 m2 avec une grande garde-robe double. elle est meublee avec un lit queen, une commode avec miroir, et un bureau de travail. et ce, dans un tres bel appartement de 95 m2 situe a deux pas du metro st-michel (ligne bleu). le prix inclus, bien sur, le partage des pieces communes ainsi que des divers electromenagers (four, frigo, laveuse, etc.). de plus, lelectricite, le chauffage et linternet haute vitesse sont inclus. lappartement est fait sur le long.\ni also speak english! ich spreche auch deutsch! hablo espanolun poco tambien!\nbonne journee! have a nice day! schoenen tag noch! buenos dias! pascal""",", MONTREAL H2A1W7 QC, CANADA",https://www.kijiji.ca/v-chambres-a-louer-colocataire/ville-de-montreal/belle-chambre-meublee-t-inclus-avec-wifi/1569922397,Room,1,,,na,0.0,,0,0.0,na,40,H2A1W7,-73.6118,45.5583,Saint-Michel East,814
1569922379,"style condo, face au parc, cote-des-neiges",1280,"1000pc\n2 chambres fermees\nrenove en 2019\ndemi sous-sol\nentree lave-vaisselle\nentree laveuse-secheuse dans la salle de bain\nluminaires encastres\navenue mclynn, coin vezina\npres du iga, banques, pharmacie, magasins, restaurants, cafes, en face du parc rosemary-brown, centre d'achat smart centre decarie\nautobus 17, 160, 166, 370, 371\n12 minutes a pied du metro namur\n1 chat accepte\nenquete de credit\n1er juillettextez au 514-297-4666condo style, in front of park, cote-des-neiges1000sqft\n2 closed bedrooms\nrenovated in 2019\nsemi-basement\ndishwasher hookups\nwasher-dryer hookups in bathroom\nrecessed lights\non mclynn avenue, corner vezina\nclose to iga, banks, pharmacy, stores, restaurants, cafes, in front of rosemary-brown park, decarie smart shopping center\nbus 17, 160, 166, 370, 371\n12 minutes walk to namur metro station\n1 cat aloud\ncredit check\njuly 1sttext at 514-297-4666","6658 AVE MCLYNN, MONTREAL, QC H3X 2R6, CANADA",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/style-condo-face-au-parc-cote-des-neiges/1569922379,apartment,1,0.0, '1 an',july,0.0,1000.0,0,0.0,condo,42,H3X 2R6,-73.6483,45.4915,Hampstead,910
1558165068,louis 438-939-9179. 1 chambre a louer disponible immediatement!,940,"""une visite simpose\n* 1 chambres a coucher\n* 1 salle de bain complete\n* eau chaude incluse\n* fraichement renove\n* balcon prive\n* pres de tous les services et restaurantsa viewing is a must\n* 1 bedroom\n* 1 full bathroom\n* hot water included\n* newly renovated\n* private balcony\n* close to all the services and restaurants""","11945 RUE LACHAPELLE, MONTRÉAL, QC H4J 2M3, CANADA",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/louis-438-939-9179-1-chambre-a-louer-disponible-immediatement/1558165068,apartment,3,0.0, '1 an',march,0.0,550.0,0,0.0,na,63,H4J 2M3,-73.7231,45.5353,Cartierville Central,336
1505844985,ddo @ 514-683-2252 - 4.5 unit,1100,"renovated building heated, hot water and available new windows, doors and balconieslarge apartments with large windowsrental office on site. outdoor pool close to trudeau airport in the heart of the west island lots of green spaces surrounded by mature trees must see. 514-683-2252","4452 DES SOURCES, DOLLAD DES ORMEAUX, QC, H8Y 3B9",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/ddo-514-683-2252-4-5-unit/1505844985,apartment,2,0.0, '1 an',na,0.0,,0,,na,29,H8Y 3B9,-73.8162,45.5145,Roxboro,281
1569642212,condo for rent,1600,"spacious and modern 4 1/2 for rent, bright, with a balcony, laundry and dryer room, locker and an indoor garage. aaa location, walking distance from all services, public transportation and schools. 30 min from downtown.\nit will be available starting july 1st, 2021\nworth a visit.moderne et grand 4 1/2 a louer, bien eclaire, avec balcon, salle de lavage, rangement et garage interieur. location aaa, proche de tous les services, transport public et ecoles. 30 min de centre ville.\nlibre a partir de 1er juillet 2021.\na voir absolument.","4885 BOUL HENRI-BOURASSA O, SAINT-LAURENT, QC H4L 0A5, CANADA",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-for-rent/1569642212,apartment,2,1.0, '1 an',july,1.0,940.0,0,1.0,condo,14,H4L 0A5,-73.6974,45.5269,Saint-Laurent Inner Northeast,546
1505777134,4  1/2  neuf a griffintown a proximite des commerces,1915,"""vous aimez etre au centre de laction et a proximite dune multitude de commerces? vous allez aimer notre projet locatif hexagone appartements.promotions en cours: profitez dun mois gratuit sur un bail de 12 mois ou 2 mois gratuits sur un bail de plus de 18 mois. *profitez dune location a court terme, a partir de 6 mois, pour decouvrir griffintown.*des appartements de type studio au 5 1/2 et penthouses, en formule tout inclus: equipes de six electromenagers (refrigerateur, cuisiniere, lave-vaisselle, micro-ondes, laveuse et secheuse), linternet haute vitesse, lelectricite, le chauffage et la climatisation, vous naurez plus a vous preoccupez de quoi que ce soit. de plus, des espaces de stationnements (220$/mois) et rangements (30$/mois) sont disponibles a la location.lhexagone appartements met a votre disposition plusieurs aires de vie telles que: un lounge, une terrasse exterieure avec piscine et un chalet urbain avec des espaces de travail au dernier etage adjacent a une terrasse au toit.les appartements 4 1/2 (2 chambres) sont a partir de 1 915$/mois pour une superficie de 872 pi2. - disponible maintenantprenez note que, a la suite des recents evenements, nous nous conformons aux exigences et aux recommandations gouvernementales les plus strictes. plusieurs alternatives sont prevues pour continuer a vous presenter notre projet de location en toute securite.- nous pouvons envoyer par courriel la brochure et les plans des appartements.- nous pouvons faire les rendez-vous par facetime et proceder a la signature a distance des baux avec docu-sign.si vous etes interesses par nos appartements, des informations complementaires vous seront communiquees par un agent de location.pour prendre rendez-vous, communiquez avec nous par courriel info@hexagoneappartements.com ou telephone 514-612-7740*promotion pour un temps limite, certaines conditions sappliquent.___would you like to be in the centre of the action and close to a multitude of shops? you will like our rental project hexagone apartments.promotions are ongoing: enjoy 1 month free on a 12-month lease or 2 months free on a lease over 18 months. * take advantage of a short-term rental, starting from 6 months, to discover griffintown.*studio to 5 1/2 and penthouse apartments, all-inclusive formula: equipped with six appliances (refrigerator, stove, dishwasher, microwave, washer and dryer), high-speed internet, electricity, heating and air conditioning, you wont have to worry about anything. in addition, parking spaces ($220/month) and storage ($30/month) are available for rent.hexagone apartments offers you several living areas such as: a lounge, an outdoor terrace with pool and an urban chalet with workspaces on the top floor adjacent to a roof terrace.the 4 1/2 (2 bedroom) apartments start at $1,915/month for an area of 872 sq. ft. - available nowplease note that, following recent events, we comply with the strictest government requirements and recommendations. several alternatives are planned in order to continue to present our rental project to you in complete security.- we can email you the brochure and apartment plans.- we can make the appointments through facetime and proceed to the remote signing of the leases with docu-sign.if you are interested in our apartments, additional information will be given to you by a rental agent.to make an appointment, contact us by email info@hexagoneappartements.com or phone 514-612-7740.*promotion for a limited time, some conditions apply.""","1140 WELLINGTON, MONTREAL, QC, H3C 1V8",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-neuf-a-griffintown-a-proximite-des-commerces/1505777134,apartment,2,0.0, '1 an',na,,,1,,na,48,H3C 1V8,-73.5679,45.503,Griffintown (Includes Île Notre-Dame & Île Sainte-Hélène),3533
1567176485,large 5 1/2 apartment for rent in the sud-ouest!,1600,"large 5 1/2 on a quiet street in the sud-ouest. walking distance to parks, the canal, shopping, and jolicoeur metro. everything is close by, and street parking is always available.very large space for a young family or roommates. large living room and kitchen space, with enough room on the balcony for a bbq and chairs. there are three full bedrooms, a living room, kitchen, and dining room.heating paid by tenant.","5425 RUE YORK, MONTRÉAL, QC H4E 4E4, CANADA",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/large-5-1-2-apartment-for-rent-in-the-sud-ouest/1567176485,apartment,16,0.0, '1 an',july,1.0,1100.0,0,0.0,na,48,H4E 4E4,-73.5863,45.468,Ville Émard,415
1569924557,1 min metro jolicoeur/3 ch ferme 2 parking renove/haut duplex,1495,"chambre 10x12, 14x12 ,7 x12pi, chacune avec fenetre .ouest 60 metre metro jolicoeur, haut duplex, 2 balcon 2 sortie prive, 1200 pc, renove completement.<<pas ideale pour 4 co-loc>>2 parking tandem dans la cour, la ville deneige dans la ruelle.\nface a promenade aqueduc, vue panoramique.\n3 min marche au iga supermarche.5 electro de qualite sur place, optionnels.","BOULEVARD CHAMPLAIN, VERDUN, QC H4G 1B2, CANADA",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-min-metro-jolicoeur-3-ch-ferme-2-parking-renove-haut-duplex/1569924557,apartment,1,2.0, '1 an',july,0.0,1200.0,0,0.0,na,61,H4G 1B2,-73.5798,45.4644,Verdun North,372
1531730257,"2 mois grat. 3 1/2,3.5, appartement, neuf, lachine, montreal,",1195,"""deux mois gratuit pour un temps limite. date doccupation: le 1er octobre 2021!! construction neuve!delivery of the october 2021 project!soyez les premiers occupants de ce magnifique immeuble construction 2020-2021!a distance de marche canal lachine, la qualite et le bon gout sharmonisent pour vous creer un confort que vous allez adorer!climatiseur mural au salon. belle cuisine,aire ouverte, avec comptoir en quartz.inclus:cuisiniere -- vitoceramiquerefrigerateurlave-vaissellehotte integree au micro-ondeslaveuse-secheuseeau chaudecomptoir en quartzclimatiseurechangeur dairterrasse sur le toitsalle de gymrangement pour les bicyclettesascenseurchute a dechet et a recyclagepossibilite de stationnement interieur ($). les frais delectricite sont a la charge du locataire.a proximite :tous les services bien representes dans le quartier immediat : alimentation et boissons , coiffeurs, modes feminines et masculines, services dappoint, gymle reseau dautobus a la porte.lacces a quelques coins de rue a l autoroute 20.visitez notre site web: www.2929victoria.capour de plus amples informations et pour visiter, appelez :joannie: 438 525 2929administre par : immomarketing inc.www.immomarketing.caappartements a louer : www.immoappart.catrouvez votre chez-soi dans les immeubles d immomarketing inc.!bonne visite!*photos a titre indicatif.contactez notre agent de location pour valider quel modele de plan est disponible.xxxxdelivery of the october 2021 project!be the first occupant! reserve now.all units have a private balcony or terrace, quartz kitchen counters, abundant fenestration allowing a beautiful natural light. close to all amenities, the area already very popular with many cyclists, the borough of lachine attracts new residents who find an exceptional living environment.our inclusions within the project5 appliancesaccess to your residence by magnetic keya fully equipped gym for the health of our occupantsa private roof terrace, where meetings and bbq are in the spotlight.air exchangerbalconyair conditioningdishwasherwasher /dryerfridgestovegymhot waterindoor parkingroof-top terracestorage spacevisit website:www.2929victoria.cafor more information and to view apartment plans or contact our rental agent at 438 525-2929.""","2929 VICTORIA, LACHINE, QC, H8S 0C3",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-mois-grat-3-1-2-3-5-appartement-neuf-lachine-montreal/1531730257,apartment,1,0.0, '1 an',october,1.0,,0,1.0,3 1/2,61,H8S 0C3,-73.6811,45.4496,Lachine East,2277
1505793120,"4.5, 4 1/2 a louer, apartment for rent, ville saint laurent",1595,"""le saphir ii est un immeuble prestigieux de 15 etages idealement situe dans un rondpoint familial, tranquille et securitaire. acces facile aux autoroutes 15 et 40. proche de centre dachat place vertu, marche central, des parcs et des ecoles. a quelques minutes du metro cote vertu.nos residents ont acces a une grande cour privee, avec une aire de jeux pour les enfants et un espace bbq avec des tables et chaises. pour votre securite, limmeuble est equipe dun systeme de cartes dacces, un systeme de plusieurs cameras et une forte equipe de concierges residents. restez en forme en utilisant notre salle de gym.limmeuble comporte deux ascenseurs, rampe dacces pour les personnes handicapees et deux niveaux de garages interieurs.le logement a des immenses fenetres mur a mur qui laissent le soleil linonder de lumiere et de chaleur. les appartements ont le plancher en bois, (fraichement sable) et ceramique. le poele, le frigo, le chauffage et leau chaude sont inclus.immeuble administre par des professionnels. trouvez votre chez-soi dans les immeubles dimmomarketing inc.!contact: 514 745 5055administre par : immomarketing inc.www.immomarketing.caappartements a louer : www.immoappart.ca bonne visite!xxxxxapartment for rent in montreal, saint laurent. the saphir ii is a prestigious 15-storey building, ideally located in a family roundabout, quiet and safe. easy access to highways 15 and 40. close to place vertu shopping center, marche central, parks and schools. a few minutes from cote vertu metro.our residents have access to a large private courtyard, with a playground for children and a bbq area with tables and chairs. for your safety, the building is equipped with a system of access cards, a system of several cameras and a strong team of resident janitors. stay in shape using our gym. the building has two elevators, a ramp for the disabled and two levels of indoor garages.the accommodation has huge wall-to-wall windows that let the sun flood in with light and warmth. the apartments have wooden floors (freshly sanded) and ceramic. the stove, fridge, heating and hot water are included.building administrated by professionals. find your home in immomarketing buildings !contact: 514 745 5055administered by: immomarketing inc.www.immomarketing.caapartments for rent: www.immoappart.caproperty amenitiesbicycle roombeach nearbyon-site staffexercise roomwheelchair accessschools nearbyprivate yardno smoking allowedlaundry facilitiesvideo surveillanceconvenience storepublic transitkeyless entryoutdoor play areashopping nearbyunderground parkingstorage lockersparks nearbyelevatorsimpeccable concrete buildingdryerrenovated and repaintedsecure intercom system and camera surveillance systemeau chaudemodern gymrefrigeratorindoor swimming pooljanitor residentcuisinieregarage availableheated indoor poolstove & fridgebbqpossibility of indoor parking ($). electricity costs are the tenants responsibility.close to services and schoolslaundry room on each floorheatheatinghighway 25 and 40 near by.near busesgymindoor parkingtraining roombusnear train stationprivate courtyard with a bbq area with tables and chairsintimate, quiet and affordablecommon terracenear all servicesunit with a lot of fenestrationschauffage et eau chaudesuite amenitieshardwood floorsfridgealarm systemstovebalconiesceramic floors""","135 PLACE CÔTE-VERTU, SAINT-LAURENT, QC, H4N 1G4",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-5-4-1-2-a-louer-apartment-for-rent-ville-saint-laurent/1505793120,apartment,1,0.0, '1 an',august,0.0,,0,0.0,4 1/2,59,H4N 1G4,-73.6807,45.5329,Saint-Laurent Outer Northeast,3368
