adId,Title,Price,Description,Location,Ddate Posted,Features,URL,Type
1569922397,Belle Chambre Meublée T.Inclus avec WiFi,470 $,"[""Salut à vous tous, Hello, Hallo, Hola\nJe suis Pascal et je suis une personne sympathique et dynamique, J’ai une superbe de belle chambre qui est disponible dès aujourd'hui! Elle est d'environ 16 m2 avec une grande garde-robe double. Elle est meublée avec un lit queen, une commode avec miroir, et un bureau de travail. Et ce, dans un très bel appartement de 95 m2 situé à deux pas du métro St-Michel (ligne bleu). Le prix inclus, bien sûr, le partage des pièces communes ainsi que des divers électroménagers (four, frigo, laveuse, etc.). De plus, l'électricité, le chauffage et l'internet haute vitesse sont inclus. L'appartement est fait sur le long.\nI also speak english! Ich spreche auch Deutsch! Hablo espanolun poco tambien!\nBonne journée! Have a nice day! Schoenen Tag noch! Buenos dias! Pascal""]",", Montreal H2A1W7 QC, Canada",il y a 18 minutes,Meublé : Oui|,https://www.kijiji.ca/v-chambres-a-louer-colocataire/ville-de-montreal/belle-chambre-meublee-t-inclus-avec-wifi/1569922397,Room
1569922379,"STYLE CONDO, FACE AU PARC, COTE-DES-NEIGES",1 280 $,"['1000pc\n2 chambres fermees\nRénove en 2019\nDemi sous-sol\nEntree Lave-Vaisselle\nEntree Laveuse-Sécheuse dans la salle de bain\nLuminaires Encastres\nAvenue McLynn, coin Vezina\nPrès du IGA, Banques, Pharmacie, Magasins, Restaurants, Cafes, en face du Parc Rosemary-Brown, Centre d’Achat Smart Centre Decarie\nAutobus 17, 160, 166, 370, 371\n12 Minutes à Pied du Metro Namur\n1 Chat Accepte\nEnquete de Crédit\n1er JUILLETTextez au 514-297-4666CONDO STYLE, IN FRONT OF PARK, COTE-DES-NEIGES1000sqft\n2 closed bedrooms\nRenovated in 2019\nSemi-Basement\nDishwasher hookups\nWasher-Dryer hookups in Bathroom\nRecessed lights\nOn McLynn Avenue, corner Vezina\nClose to IGA, Banks, Pharmacy, Stores, Restaurants, Cafés, in front of Rosemary-Brown Park, Decarie Smart shopping center\nBus 17, 160, 166, 370, 371\n12 Minutes walk to Namur Metro Station\n1 cat aloud\nCredit Check\nJULY 1stText at 514-297-4666']","6658 Ave McLynn, Montreal, QC H3X 2R6, Canada",il y a 18 minutes,"['0', '1 an', '<span>1 juillet 2021</span>', 'Non', '1\xa0000', 'Non', 'Non', ""Seulement à l'extérieur<""]",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/style-condo-face-au-parc-cote-des-neiges/1569922379,apartment
1558165068,LOUIS 438-939-9179. 1 chambre à louer disponible IMMÉDIATEMENT!,940 $,"[""UNE VISITE S'IMPOSE\n* 1 Chambres a coucher\n* 1 Salle de bain complète\n* Eau chaude incluse\n* Fraîchement rénové\n* Balcon prive\n* Pres de tous les services et restaurantsA VIEWING IS A MUST\n* 1 Bedroom\n* 1 full bathroom\n* Hot water included\n* Newly renovated\n* Private balcony\n* Close to all the services and restaurants""]","11945 Rue Lachapelle, Montréal, QC H4J 2M3, Canada",il y a 3 jours,"['0', '1 an', '<span>1 mars 2021</span>', 'Non', '550', 'Non', 'Non', 'Non<']",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/louis-438-939-9179-1-chambre-a-louer-disponible-immediatement/1558165068,apartment
1505844985,DDO @ 514-683-2252 - 4.5 Unit,1 100 $,"['Renovated building Heated, hot water and available NEW windows, doors and balconiesLarge apartments with large windowsRental office on site. Outdoor pool Close to Trudeau Airport In the heart of the West Island Lots of green spaces Surrounded by mature trees Must see. 514-683-2252']","4452 des Sources, Dollad des Ormeaux, QC, H8Y 3B9",il y a 2 jours,"['0', '1 an', 'Non', 'Non disponible', 'Non', 'Non', ""Seulement à l'extérieur<""]",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/ddo-514-683-2252-4-5-unit/1505844985,apartment
1569642212,Condo for rent,1 600 $,"['Spacious and modern 4 1/2 for rent, bright, with a balcony, Laundry and dryer room, locker and an indoor garage. AAA location, walking distance from all services, public transportation and schools. 30 min from downtown.\nIt will be available starting July 1st, 2021\nWorth a visit.Moderne et grand 4 1/2 à louer, bien éclairé, avec balcon, salle de lavage, rangement et garage intérieur. Location AAA, proche de tous les services, transport public et écoles. 30 min de centre ville.\nLibre à partir de 1er Juillet 2021.\nÀ voir absolument.']","4885 Boul Henri-Bourassa O, Saint-Laurent, QC H4L 0A5, Canada",il y a 2 jours,"['1', '1 an', '<span>1 juillet 2021</span>', 'Limité', '940', 'Non', 'Oui', ""Seulement à l'extérieur"", 'Oui', 'Non', 'Non<']",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-for-rent/1569642212,apartment
1505777134,4 ½ neuf à Griffintown à proximité des commerces,1 915 $,"[""Vous aimez être au centre de l'action et à proximité dune multitude de commerces? Vous allez aimer notre projet locatif Hexagone Appartements.Promotions en cours: Profitez dun mois gratuit sur un bail de 12 mois OU 2 mois gratuits sur un bail de plus de 18 mois. *Profitez dune location à court terme, à partir de 6 mois, pour découvrir Griffintown.*Des appartements de type studio au 5 1/2 et penthouses, en formule tout inclus: équipés de six électroménagers (réfrigérateur, cuisinière, lave-vaisselle, micro-ondes, laveuse et sécheuse), lInternet haute vitesse, lélectricité, le chauffage et la climatisation, vous naurez plus à vous préoccupez de quoi que ce soit. De plus, des espaces de stationnements (220$/mois) et rangements (30$/mois) sont disponibles à la location.LHexagone Appartements met à votre disposition plusieurs aires de vie telles que: un lounge, une terrasse extérieure avec piscine et un chalet urbain avec des espaces de travail au dernier étage adjacent à une terrasse au toit.Les appartements 4 1/2 (2 chambres) sont à partir de 1 915$/mois pour une superficie de 872 pi2. - Disponible maintenantPrenez note que, à la suite des récents événements, nous nous conformons aux exigences et aux recommandations gouvernementales les plus strictes. Plusieurs alternatives sont prévues pour continuer à vous présenter notre projet de location en toute sécurité.- Nous pouvons envoyer par courriel la brochure et les plans des appartements.- Nous pouvons faire les rendez-vous par Facetime et procéder à la signature à distance des baux avec docu-sign.Si vous êtes intéressés par nos appartements, des informations complémentaires vous seront communiquées par un agent de location.Pour prendre rendez-vous, communiquez avec nous par courriel info@hexagoneappartements.com ou téléphone 514-612-7740*Promotion pour un temps limité, certaines conditions sappliquent.___Would you like to be in the centre of the action and close to a multitude of shops? You will like our rental project Hexagone Apartments.Promotions are ongoing: Enjoy 1 month free on a 12-month lease OR 2 months free on a lease over 18 months. * Take advantage of a short-term rental, starting from 6 months, to discover Griffintown.*Studio to 5 1/2 and penthouse apartments, all-inclusive formula: equipped with six appliances (refrigerator, stove, dishwasher, microwave, washer and dryer), high-speed Internet, electricity, heating and air conditioning, you won't have to worry about anything. In addition, parking spaces ($220/month) and storage ($30/month) are available for rent.Hexagone Apartments offers you several living areas such as: a lounge, an outdoor terrace with pool and an urban chalet with workspaces on the top floor adjacent to a roof terrace.The 4 1/2 (2 bedroom) apartments start at $1,915/month for an area of 872 sq. ft. - Available nowPlease note that, following recent events, we comply with the strictest government requirements and recommendations. Several alternatives are planned in order to continue to present our rental project to you in complete security.- We can email you the brochure and apartment plans.- We can make the appointments through Facetime and proceed to the remote signing of the leases with docu-sign.If you are interested in our apartments, additional information will be given to you by a rental agent.To make an appointment, contact us by email info@hexagoneappartements.com or phone 514-612-7740.*Promotion for a limited time, some conditions apply.""]","1140 Wellington, Montreal, QC, H3C 1V8",il y a 2 jours,"['0', '1 an', 'Limité', '872', 'Non', 'Oui', ""Seulement à l'extérieur<""]",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-neuf-a-griffintown-a-proximite-des-commerces/1505777134,apartment
1567176485,Large 5 1/2 Apartment for rent in the Sud-Ouest!,1 600 $,"['Large 5 1/2 on a quiet street in the Sud-Ouest. Walking distance to parks, the canal, shopping, and Jolicoeur metro. Everything is close by, and street parking is always available.Very large space for a young family or roommates. Large living room and kitchen space, with enough room on the balcony for a BBQ and chairs. There are three full bedrooms, a living room, kitchen, and dining room.Heating paid by tenant.']","5425 Rue York, Montréal, QC H4E 4E4, Canada",il y a 16 jours,"['0', '1 an', '<span>1 juillet 2021</span>', 'Limité', '1\xa0100', 'Non', 'Non', 'Non<']",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/large-5-1-2-apartment-for-rent-in-the-sud-ouest/1567176485,apartment
1569924557,1 min metro jolicoeur/3 ch ferme 2 parking renove/Haut Duplex,1 495 $,"['Chambre 10x12, 14x12 ,7 X12pi, chacune avec fenêtre .Ouest 60 mètre Metro Jolicoeur, haut Duplex, 2 balcon 2 sortie prive, 1200 pc, rénove complètement.«Pas idéale pour 4 co-loc»2 parking tandem dans la cour, la ville déneige dans la ruelle.\nFace à Promenade Aqueduc, vue panoramique.\n3 min marche au IGA supermarché.5 électro de qualité sur place, optionnels.']","Boulevard Champlain, Verdun, QC H4G 1B2, Canada",il y a 5 minutes,"['2', '1 an', '<span>1 juillet 2021</span>', 'Non', '1\xa0200', 'Non', 'Non', ""Seulement à l'extérieur<""]",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-min-metro-jolicoeur-3-ch-ferme-2-parking-renove-haut-duplex/1569924557,apartment
1531730257,"2 MOIS GRAT. 3 1/2,3.5, appartement, neuf, Lachine, Montréal,",1 195 $,"[""DEUX MOIS GRATUIT pour un temps limité. DATE D'OCCUPATION: LE 1ER OCTOBRE 2021!! Construction neuve!DELIVERY OF THE OCTOBER 2021 PROJECT!Soyez les premiers occupants de ce magnifique immeuble construction 2020-2021!A distance de marche Canal Lachine, la qualité et le bon goût s'harmonisent pour vous créer un confort que vous allez adorer!Climatiseur mural au salon. Belle cuisine,aire ouverte, avec comptoir en quartz.Inclus:Cuisinière -- vitocéramiqueRéfrigérateurLave-vaisselleHotte intégrée au micro-ondesLaveuse-sécheuseEau chaudecomptoir en quartzClimatiseurEchangeur d'airterrasse sur le toitsalle de gymrangement pour les bicyclettesascenseurchute a déchet et a recyclagePossibilité de stationnement intérieur ($). Les frais d'électricité sont à la charge du locataire.À proximité :Tous les services bien représentés dans le quartier immédiat : alimentation et boissons , coiffeurs, modes féminines et masculines, services d'appoint, gymLe réseau d'autobus à la porte.L'accès à quelques coins de rue a l' autoroute 20.Visitez notre site web: www.2929victoria.caPour de plus amples informations et pour visiter, appelez :Joannie: 438 525 2929ADMINISTRÉ PAR : IMMOMARKETING Inc.www.immomarketing.caAppartements à louer : www.immoappart.caTROUVEZ VOTRE CHEZ-SOI DANS LES IMMEUBLES D IMMOMARKETING INC.!BONNE VISITE!*Photos à titre indicatif.Contactez notre agent de location pour valider quel modèle de plan est disponible.xxxxDELIVERY OF THE OCTOBER 2021 PROJECT!Be the first occupant! Reserve now.All units have a private balcony or terrace, quartz kitchen counters, abundant fenestration allowing a beautiful natural light. Close to all amenities, the area already very popular with many cyclists, the Borough of Lachine attracts new residents who find an exceptional living environment.Our inclusions within the project5 appliancesAccess to your residence by magnetic keyA fully equipped gym for the health of our occupantsA private roof terrace, where meetings and BBQ are in the spotlight.Air exchangerBalconyAir conditioningDishwasherWasher /dryerFridgeStoveGymHot waterIndoor parkingRoof-top TerraceStorage spaceVISIT WEBSITE:www.2929victoria.cafor more information and to view apartment plans or contact our rental agent at 438 525-2929.""]","2929 VICTORIA, Lachine, QC, H8S 0C3",il y a 6 minutes,"['0', '1 an', '<span>1 octobre 2021</span>', 'Limité', 'Non disponible', 'Non', 'Oui', 'Non<']",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-mois-grat-3-1-2-3-5-appartement-neuf-lachine-montreal/1531730257,apartment
1505793120,"4.5, 4 1/2 à louer, apartment for rent, ville Saint Laurent",1 595 $,"[""Le Saphir II est un immeuble prestigieux de 15 étages idéalement situé dans un rondpoint familial, tranquille et sécuritaire. Accès facile aux autoroutes 15 et 40. Proche de centre dachat Place Vertu, Marché Central, des parcs et des écoles. A quelques minutes du métro Côté Vertu.Nos résidents ont accès à une grande cour privée, avec une aire de jeux pour les enfants et un espace BBQ avec des tables et chaises. Pour votre sécurité, limmeuble est équipé dun système de cartes daccès, un système de PLUSIEURS caméras et une forte équipe de concierges résidents. Restez en forme en utilisant notre salle de gym.Limmeuble comporte deux ascenseurs, rampe daccès pour les personnes handicapées et deux niveaux de garages intérieurs.Le logement a des immenses fenêtres mur à mur qui laissent le soleil linonder de lumière et de chaleur. les appartements ont le plancher en bois, (fraichement sablé) et céramique. Le poêle, le frigo, le chauffage et l'eau chaude sont inclus.Immeuble administré par des professionnels. TROUVEZ VOTRE CHEZ-SOI DANS LES IMMEUBLES DIMMOMARKETING INC.!CONTACT: 514 745 5055ADMINISTRÉ PAR : IMMOMARKETING Inc.www.immomarketing.caAppartements à louer : www.immoappart.ca BONNE VISITE!xxxxxApartment for rent in Montreal, Saint Laurent. The Saphir II is a prestigious 15-storey building, ideally located in a family roundabout, quiet and safe. Easy access to highways 15 and 40. Close to Place Vertu shopping center, Marché Central, parks and schools. A few minutes from Côté Vertu metro.Our residents have access to a large private courtyard, with a playground for children and a BBQ area with tables and chairs. For your safety, the building is equipped with a system of access cards, a system of SEVERAL cameras and a strong team of resident janitors. Stay in shape using our gym. The building has two elevators, a ramp for the disabled and two levels of indoor garages.The accommodation has huge wall-to-wall windows that let the sun flood in with light and warmth. The apartments have wooden floors (freshly sanded) and ceramic. The stove, fridge, heating and hot water are included.Building administrated by professionals. FIND YOUR HOME IN IMMOMARKETING BUILDINGS !CONTACT: 514 745 5055ADMINISTERED BY: IMMOMARKETING Inc.www.immomarketing.caApartments for rent: www.immoappart.caProperty AmenitiesBicycle roomBeach nearbyOn-site staffExercise roomWheelchair accessSchools nearbyPrivate yardNo Smoking allowedLaundry facilitiesVideo surveillanceConvenience storePublic transitKeyless entryOutdoor play areaShopping nearbyUnderground parkingStorage lockersParks nearbyElevatorsImpeccable concrete buildingdryerRenovated and repaintedSecure intercom system and camera surveillance systemEau ChaudeModern GymRefrigeratorIndoor swimming poolJanitor residentCuisinièreGarage availableHeated indoor poolStove & fridgeBBQPossibility of indoor parking ($). Electricity costs are the tenants responsibility.Close to services and schoolsLaundry room on each floorHeatHeatingHighway 25 and 40 near by.Near busesGymIndoor parkingTraining roomBusNear train stationPrivate courtyard with a BBQ area with tables and chairsIntimate, quiet and affordableCommon terraceNear all servicesUnit with a lot of fenestrationsChauffage et eau chaudeSuite AmenitiesHardwood floorsFridgeAlarm systemStoveBalconiesCeramic floors""]","135 Place Côte-Vertu, Saint-Laurent, QC, H4N 1G4",il y a 6 minutes,"['0', '1 an', '<span>1 août 2021</span>', 'Non', 'Non disponible', 'Non', 'Non', 'Non', 'Non', 'Non', 'Oui<']",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-5-4-1-2-a-louer-apartment-for-rent-ville-saint-laurent/1505793120,apartment
